Bug area,Sub-area,project(app/web?),Checkpoint,Related issues
Account,Email address,Web-MDS,"注意多次修改email时的弹窗是否正确
Check whether the pop-up window is correct when you edit the email multiple times",MDS-3149
Account,Email,KAK,"检查输入长文字时是否会出现操作卡顿（例如邮箱）
Check whether inputting long text (e.g., an email address) causes any lag or slow response.",KAK-5072
Address,Delivery address,Web-MDS,"注意取消的历史订单跳转/切换店铺是否正常
Pay attention to whether the jump/switching store of the cancelled historical orders is normal",MDS-2908
Admin,,VHM,"注意一个函数在多个页面调用时，单个页面的修改应该会在其他页面也生效
Note that when a function is called on multiple pages, changes on a single page should also take effect on other pages",VHM-361
Admin,dir admin/rom admin,JMA,"注意MCD dir admin和rom admin对编辑店铺开店时间的联动关系
Note the linkage between MCD dir admin and rom admin in editing store opening hours",MWMOP-4065
Admin,Versions List,ThePlant website,"注意Versions List页面不同语言环境的数据是否会出现在非对应语言环境里
Note that data in different locales on the Versions List page will appear in non-corresponding locales.",https://theplant.slack.com/archives/C7FRMTSPN/p1745843630140329?thread_ts=1745461604.089839&cid=C7FRMTSPN
Admin,,Lacoste,"注意检查在后台修改/删除视频时，后台其他模块以及前台是否同步变化
Pay attention to checking whether other modules in the background and the foreground change synchronously when modifying or deleting videos in the background","LAX-7513
LAX-7514"
Banner,,KAK,"注意banner有多个图片时，打断banner切换后，banner还能否继续切换
Please verify that the banner continues to rotate properly after an interruption (e.g. swipe or tap), particularly when multiple images are present.",KAK-6836
Banner,,KAK,"检查admin上传的图片在前台显示是否一致
Check whether the pictures uploaded by admin are displayed consistently on the front end.",KGM-1405
Box,,KAK,"在一个下拉抽屉有问题时需要检查在所有类型的下拉抽屉
When one pull-down drawer has a problem, it's necessary to check all types of pull-down drawers.",KAK-8520
Campaign,LP title,JMA,"检查不同语言环境下文本内容是否正常显示
Check whether the text content is displayed normally in different language environments.
测试要覆盖到所有语言环境：日语、英语、其他语言
The test should cover all language environments: Japanese, English, other languages",MDX-8718
Campaign,Lucky Bag,JMA,"尝试多设备同时提交表单模拟压力测试
Try submitting forms on multiple devices at the same time to simulate stress testing",CNV-1161
Campaign,SLP,JMA,"注意文字颜色与设计是否一致 
Pay more attention to if the text color is the same as the design",MDX-8793
Campaign,Always-on Stamp Card,JMA,"检查Campaign上展示的时间是否为对应时间
Check whether the time displayed on the Campaign is the corresponding time",MDX-9587
Campaign,T&C,JMA,"检查「prod环境」两端T&C页面是否能正常展示
Check whether the T&C pages on both ends of the 「prod」 can be displayed normally",MDX-10233
Campaign,Lucky Bag,JMA,"确保不能通过距离过远弹窗跳转到非中奖店铺购买lucky bag
Make sure that you cannot jump to a non-winning store to buy a lucky bag through a pop-up window that is too far away",MDX-10645   
Campaign,,JMA,"检查campaign登陆后是否跳转到正确的页面
Check if the page redirects to the correct one after logging in. ",MDX-11085
Campaign,,JMA,"检查不同尺寸屏幕设备和不同阶段的UI展示是否正常
Check whether the UI displays of devices with different screen sizes and at different stages are functioning properly.",MDX-11075
Campaign,,JMA,"感觉设计有缺失时，及时进行核查
When you sense that there is a deficiency in the design, promptly conduct a verification.",MDX-11472
Campaign,,JMA,"注意检查UI上对应日期的星期几是否与真实的日期一致
Please check that the day of the week for the corresponding date on the UI matches the actual date.",MDX-12049
Campaign,,JMA,"「新功能」注意检查没有网络的情况下点击确认按钮的错误提示是否正确
「New function」Check whether the error prompt when clicking the confirm button in the absence of a network connection is correct",MDX-11916
Campaign,,JMA,"注意检查链接跳转后的页面是否合理
Pay attention to checking whether the page after the link jump is reasonable.",MDX-12016
